player_id,player_name,position,orientation,archetype_key,archetype_name,minutes,latest_team_name,primary_league_name,raw_quality_rating,minutes_reliability,futbud_rating,role_rating_percentile,quality_status,quality_metric_count,pass_accuracy_pct_quality,duel_win_pct_quality,blocks_per90_quality,interceptions_per90_quality,tackles_per90_quality,dribbled_past_per90_quality,dribble_success_pct_quality,key_passes_per90_quality,assists_per90_quality,goals_per90_quality,shot_accuracy_pct_quality,fouls_drawn_per90_quality,shots_total_per90_quality
19625,Danny Namaso,F,central,traditional_9,Traditional No. 9,2525.0,Auxerre,Ligue 1,24.7,98.7,25.1,6.2,Poor,5,,43.47826086956522,,,,,,77.29468599033817,,9.66183574879227,17.391304347826086,,24.637681159420293
19720,Trevoh Chalobah,D,,positional_cb,Positional Center Back,2782.0,Chelsea,Premier League,55.6,100.0,55.6,68.2,Good,6,92.01877934272301,39.436619718309856,21.5962441314554,62.91079812206573,32.863849765258216,58.21596244131456,,,,,,,
19760,James Justin,D,,stopper_cb,Stopper Center Back,1916.0,Leeds,Premier League,59.2,94.2,58.6,74.0,Very Good,6,3.8461538461538463,74.61538461538461,37.69230769230769,51.53846153846153,90.76923076923077,60.0,,,,,,,
19824,Jordan Zemura,M,central,box_to_box_midfielder,Box-to-Box Midfielder (CM / 8),1128.0,Udinese,Serie A,31.1,88.4,33.3,5.3,Poor,7,13.636363636363635,17.424242424242426,,24.242424242424242,88.63636363636364,,15.909090909090908,,54.54545454545454,10.984848484848484,,,
19827,Josh Cullen,M,central,defensive_midfielder,Defensive Midfielder (DM / 6),1519.0,Burnley,Premier League,44.0,91.3,44.5,37.0,Below Average,5,30.76923076923077,56.15384615384615,,67.17948717948717,26.666666666666668,,6.666666666666667,,,,,,
20093,James Hill,D,,stopper_cb,Stopper Center Back,2120.0,Bournemouth,Premier League,58.8,95.7,58.5,72.5,Very Good,6,7.6923076923076925,90.76923076923077,52.307692307692314,87.6923076923077,23.076923076923077,53.84615384615385,,,,,,,
20303,Josh Laurent,D,,high_intensity_fullback,High-Intensity Fullback,1783.0,Burnley,Premier League,41.3,93.2,41.9,30.6,Below Average,6,,16.901408450704224,,83.09859154929578,56.33802816901409,,50.70422535211267,26.76056338028169,14.084507042253522,,,,
20525,Matthieu Udol,M,central,attacking_midfielder,Attacking Midfielder (AM / 10),3003.0,Lens,Ligue 1,39.8,100.0,39.8,18.3,Poor,6,18.478260869565215,,,,,,17.391304347826086,57.608695652173914,70.65217391304348,14.130434782608695,40.21739130434783,,
20529,Gauthier Hein,M,central,attacking_midfielder,Attacking Midfielder (AM / 10),2354.0,Metz,Ligue 1,73.6,97.4,73.0,96.2,Elite,6,76.08695652173914,,,,,,21.73913043478261,85.86956521739131,81.52173913043478,94.56521739130434,60.86956521739131,,
20534,Cheick Tidiane Sabaly,F,central,traditional_9,Traditional No. 9,976.0,Metz,Ligue 1,26.3,87.2,29.3,12.5,Poor,5,,32.850241545893724,,,,,,51.20772946859904,,0.7246376811594203,70.04830917874396,,0.4830917874396135
